AAP,NULL,Alexandra Palace,910GALEXNDP,N90NN
ZML,MHE,Mill Hill East,940GZZLUMHL,NW71BS
ZMM,MON,Monument,940GZZLUBNK,EC4R9AA
ZMN,MCR,Mornington Crescent,940GZZLUMTC,NW12JA
ZMO,MOR,Morden,940GZZLUMDN,SM45AZ
ZMP,MPK,Moor Park,940GZZLUMPK,HA62JQ
ZMR,MNR,Manor House,940GZZLUMRH,N41BZ
ZMV,MDV,Maida Vale,940GZZLUMVL,W91JS
ZNA,NAC,North Acton,940GZZLUNAN,W36UP
ZND,NWD,Northwood,940GZZLUNOW,HA62XL
ZNE,NEL,North Ealing,940GZZLUNEN,W53AF
ZNF,NFD,Northfields,940GZZLUNFD,W139QU
ZNG,NHG,Notting Hill Gate,940GZZLUNHG,W113HT
ZNH,NHR,North Harrow,940GZZLUNHA,HA27SR
ZNK,NWP,Northwick Park,940GZZLUNKP,HA30AT
ZNN,NEA,Neasden,940GZZLUNDN,NW101PH
ZNO,NHT,Northolt,940GZZLUNHT,UB54AA
ZNP,NEP,Newbury Park,910GILFENBP,IG27RN
ZNS,NWH,Northwood Hills,940GZZLUNWH,HA61NZ
ZOA,OAK,Oakwood,940GZZLUOAK,N144UT
ZOC,OXC,Oxford Circus,940GZZLUOXC,W1R1AB
ZOV,OVL,Oval,940GZZLUOVL,SE114PP
ZOY,OST,Osterley,940GZZLUOSY,TW74PU
ZPB,PUT,Putney Bridge,940GZZLUPYB,SW63UH
ZPC,PIC,Piccadilly Circus,940GZZLUPCC,W1V9LB
ZPD,ZRP,Prince Regent,940GZZDLPRE,E161SL
ZPE,PER,Perivale,940GZZLUPVL,UB67PG
ZPG,PGR,Parsons Green,940GZZLUPSG,SW64HJ
ZPI,PIN,Pinner,940GZZLUPNR,HA55LZ
ZPK,PRY,Park Royal,940GZZLUPKR,W53EL
ZPL,ZPO,Poplar,940GZZDLPOP,E140BX
ZPM,ZPM,Pudding Mill Lane,940GZZDLPUD,E152PJ
ZPO,PIM,Pimlico,940GZZLUPCO,SW1V2JA
ZPR,ZPT,Preston Road,940GZZLUPRD,HA30PS
ZPS,PLW,Plaistow,940GZZLUPLW,E130JU
ZPU,EPY,East Putney,940GZZLUEPY,SW152SP
ZQB,QBY,Queensbury,940GZZLUQBY,HA85NP
ZQS,SWF,South Woodford,940GZZLUSWF,E181JJ
ZQW,QWY,Queensway,940GZZLUQWY,W24SS
ZRA,RCP,Ravenscourt Park,940GZZLURVP,W60UG
ZRB,ZRV,Royal Victoria,940GZZDLRVC,E161LE
ZRC,ZRA,Royal Albert,940GZZDLRAL,E162QD
ZRG,RUG,Ruislip Gardens,940GZZLURSG,HA46NF
ZRL,RLN,Rayners Lane,940GZZLURYL,HA55EJ
ZRM,RUM,Ruislip Manor,940GZZLURSM,HA49AA
ZRP,RPK,Regents Park,940GZZLURGP,NW15HA
ZRS,RSQ,Russell Square,940GZZLURSQ,WC1N1LG
ZRU,RUI,Ruislip,940GZZLURSP,HA48LD
ZRY,ZRO,Royal Oak,940GZZLURYO,W26ET
ZSA,SGT,Southgate,940GZZLUSGT,N146JT
ZSC,SWC,Swiss Cottage,940GZZLUSWC,NW36HY
ZSE,SEL,South Ealing,940GZZLUSEA,W54QB
ZSF,STB,Stamford Brook,940GZZLUSFB,W60XS
ZSG,STG,Stepney Green,940GZZLUSGN,E14AQ
ZSH,SHL,Sudbury Hill,910GSDBRYHH,HA13RA
ZSI,SWM,South Wimbledon,940GZZLUSWN,SW191DE
ZSJ,SJW,St Johns Wood,940GZZLUSJW,NW89TY
ZSK,SKN,South Kensington,940GZZLUSKS,SW72NB
ZSL,STK,Stockwell,940GZZLUSKW,SW99AE
ZSM,STA,Stanmore,940GZZLUSTM,HA74PD
ZSN,SNB,Snaresbrook,940GZZLUSNB,E111QE
ZSO,SSQ,Sloane Square,940GZZLUSSQ,SW1W8BB
ZSP,STP,St Pauls,940GZZLUSPU,EC1A7AJ
ZSQ,ZSQ,South Quay,940GZZDLSOQ,E149UJ
ZSS,SJP,St Jamess Park,940GZZLUSJP,SW1H9AT
ZSW,SWK,Southwark,910GWLOE,SE18NW
ZSX,SHR,South Harrow,940GZZLUSHH,HA28HN
ZSY,STN,Sudbury Town,940GZZLUSUT,HA02LA
ZTB,TBE,Tooting Bec,940GZZLUTBC,SW179AH
ZTC,TCR,Tottenham Court Road,940GZZLUTCR,W1T1UQ
ZTG,ZTG,Tower Gateway,940GZZDLTWG,EC3N2PU
ZTH,THL,Tower Hill,910GFENCHRS,EC3N4DJ
ZTL,TPL,Turnpike Lane,940GZZLUTPN,N153NX
ZTM,TEM,Temple,940GZZLUTMP,WC2R2PH
ZTO,TBY,Tooting Broadway,940GZZLUTBY,SW170SU
ZTP,TPK,Tufnell Park,940GZZLUTFP,N195QB
ZTR,TGR,Turnham Green,940GZZLUTNG,W41LR
ZTW,TOT,Totteridge & Whetstone,940GZZLUTAW,N209QP
ZUB,UPB,Upminster Bridge,940GZZLUUPB,RM126PL
ZUP,UPK,Upton Park,940GZZLUUPK,E139AP
ZUX,UXB,Uxbridge,940GZZLUUXB,UB81JZ
ZUY,UPY,Upney,940GZZLUUPY,IG119LS
ZWC,WCT,White City,940GZZLUWCY,W127RH
ZWD,WGN,Wood Green,940GZZLUWOG,N224HH
ZWE,WAC,West Acton,940GZZLUWTA,W36UP
ZWF,ZWF,Westferry,940GZZDLWFE,E148JD
ZWG,WLG,Willesden Green,940GZZLUWIG,NW24QT
ZWH,WFY,West Finchley,940GZZLUWFN,N31NT
ZWI,WSP,Woodside Park,940GZZLUWOP,N128SE
ZWK,WKN,West Kensington,940GZZLUWKN,W149NL
ZWM,WMS,Westminster,940GZZLUWSM,SW1A2JR
ZWN,WAN,Wanstead,940GZZLUWSD,E112NT
ZWO,WFD,Woodford,940GZZLUWOF,IG80HW
ZWS,WST,Warren Street,940GZZLUWRR,NW13AA
ZWU,ZWP,Westbourne Park,940GZZLUWSP,W111AB
ZWV,WAR,Warwick Avenue,940GZZLUWKA,W92PT
ZWX,WHR,West Harrow,940GZZLUWHW,HA14HE
ZWY,WPK,Wembley Park,940GZZLUWYP,HA99AA
